title,url
H2020 2019 call topic n1 - Strengthening Internet Trustworthiness,https://consultation.ngi.eu/taxonomy/term/140
H2020 2019 call topic n2 - Service and Data Portability,https://consultation.ngi.eu/taxonomy/term/141
H2020 2019 call topic n3 - Open Internet Architecture Renovation,https://consultation.ngi.eu/taxonomy/term/142
NGI @ICT2018,https://consultation.ngi.eu/taxonomy/term/161
Privacy and Trust Enhancing Technologies,https://consultation.ngi.eu/taxonomy/term/45
Discovery and Identification Technologies,https://consultation.ngi.eu/taxonomy/term/151
Decentralised Data Governance,https://consultation.ngi.eu/taxonomy/term/46
Responsible AI,https://consultation.ngi.eu/taxonomy/term/55
Blockchain as an Enabler for NGI,https://consultation.ngi.eu/taxonomy/term/58
Open Internet Initiative,https://consultation.ngi.eu/taxonomy/term/13
Hyper-connected Sociality,https://consultation.ngi.eu/taxonomy/term/12
NGI technologies,https://consultation.ngi.eu/taxonomy/term/14
"The Next Generation Internet: Diversity, Inclusion and Skills",https://consultation.ngi.eu/taxonomy/term/51
Socio-economic and Legal Considerations for NGI,https://consultation.ngi.eu/taxonomy/term/94
Innovation Networks,https://consultation.ngi.eu/taxonomy/term/81
